occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate,typical_education
19-3099,"Social Scientists and Related Workers, All Other",detailed,66120.0,80860.0,101110.0,129960.0,160300.0,0.0226005861803664,Bachelor's degree
19-4012,Agricultural Technicians,detailed,35980.0,40950.0,49630.0,63630.0,76480.0,0.0194103459494439,Associate's degree
19-4013,Food Science Technicians,detailed,39820.0,46020.0,52130.0,63270.0,78820.0,0.0125444815385178,Associate's degree
19-4021,Biological Technicians,detailed,40330.0,48130.0,57510.0,71520.0,84940.0,0.0179647758881764,Bachelor's degree
19-4031,Chemical Technicians,detailed,41740.0,48530.0,60390.0,75900.0,92040.0,0.0221049082763959,Associate's degree
19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,38170.0,45820.0,55090.0,69910.0,94160.0,0.0185955364817225,Associate's degree
19-4043,"Geological Technicians, Except Hydrologic Technicians",detailed,35770.0,44850.0,53350.0,72110.0,99560.0,0.0175065126208444,Associate's degree
19-4044,Hydrologic Technicians,detailed,44950.0,52040.0,64790.0,84680.0,100480.0,0.022155733902327,Associate's degree
19-4051,Nuclear Technicians,detailed,73150.0,99110.0,110240.0,123990.0,133600.0,0.0106997838984086,Associate's degree
19-4061,Social Science Research Assistants,detailed,38090.0,48620.0,61990.0,77760.0,102070.0,0.0245913101579573,Bachelor's degree
19-4071,Forest and Conservation Technicians,detailed,40330.0,47360.0,54560.0,68600.0,83630.0,0.0142529202242092,Associate's degree
19-4092,Forensic Science Technicians,detailed,48250.0,57830.0,72060.0,94520.0,117250.0,0.0222429087298785,Bachelor's degree
19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,39000.0,48030.0,62280.0,79780.0,102690.0,0.0263219132366954,Associate's degree
19-5011,Occupational Health and Safety Specialists,detailed,55000.0,69560.0,90150.0,111690.0,134950.0,0.0262675944187298,Bachelor's degree
19-5012,Occupational Health and Safety Technicians,detailed,46280.0,52470.0,61560.0,78850.0,100160.0,0.0161053890200395,High school diploma or equivalent
21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,45020.0,51270.0,64330.0,82870.0,104770.0,0.0229514526340506,Master's degree
21-1013,Marriage and Family Therapists,detailed,44650.0,50070.0,66940.0,93840.0,123730.0,0.0294631645914484,Master's degree
21-1015,Rehabilitation Counselors,detailed,35060.0,38770.0,46850.0,59260.0,77170.0,0.0191107422344545,Master's degree
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,38940.0,47100.0,59350.0,76530.0,97590.0,0.0233872020684766,Master's degree
21-1019,"Counselors, All Other",detailed,36240.0,43680.0,50860.0,66520.0,91940.0,0.0153350361004132,Master's degree
21-1021,"Child, Family, and School Social Workers",detailed,42280.0,48270.0,59550.0,76070.0,95530.0,0.021222669081732,Bachelor's degree
21-1022,Healthcare Social Workers,detailed,46220.0,56710.0,67880.0,82240.0,100360.0,0.0181416846192548,Master's degree
21-1023,Mental Health and Substance Abuse Social Workers,detailed,39740.0,47070.0,60280.0,79730.0,104170.0,0.0250449362102342,Master's degree
21-1029,"Social Workers, All Other",detailed,43620.0,51900.0,71900.0,97040.0,115610.0,0.0331328082460617,Bachelor's degree
21-1091,Health Education Specialists,detailed,42990.0,50620.0,64070.0,87130.0,118200.0,0.0238427476261511,Bachelor's degree
21-1092,Probation Officers and Correctional Treatment Specialists,detailed,46840.0,54250.0,66270.0,84780.0,107790.0,0.0202150428183669,Bachelor's degree
21-1093,Social and Human Service Assistants,detailed,34200.0,38150.0,45930.0,54350.0,63290.0,0.0187325677960803,High school diploma or equivalent
21-1094,Community Health Workers,detailed,38810.0,45640.0,51850.0,62540.0,77180.0,0.0128387591395879,High school diploma or equivalent
21-1099,"Community and Social Service Specialists, All Other",detailed,37310.0,45920.0,56730.0,69910.0,84210.0,0.0213652798348478,Bachelor's degree
21-2011,Clergy,detailed,37860.0,48260.0,60810.0,76640.0,98890.0,0.0233843436396274,Bachelor's degree
21-2021,"Directors, Religious Activities and Education",detailed,34670.0,44010.0,52100.0,73730.0,98310.0,0.0170179906116958,Bachelor's degree
21-2099,"Religious Workers, All Other",detailed,31200.0,35310.0,45280.0,60390.0,93900.0,0.0251817586635394,Bachelor's degree
23-1011,Lawyers,detailed,78360.0,102990.0,159670.0,221370.0,351600.0,0.0448232464122535,Doctoral or professional degree
23-1012,Judicial Law Clerks,detailed,46180.0,52870.0,64920.0,80420.0,113140.0,0.0207441980963078,Doctoral or professional degree
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,61110.0,81140.0,117860.0,159680.0,207480.0,0.0380377396874433,Doctoral or professional degree
23-1022,"Arbitrators, Mediators, and Conciliators",detailed,47220.0,57360.0,75530.0,108000.0,155440.0,0.0279003979686867,Bachelor's degree
23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,46950.0,85710.0,153990.0,194950.0,221710.0,0.0603423376523089,Doctoral or professional degree
23-2011,Paralegals and Legal Assistants,detailed,44740.0,50340.0,62890.0,80080.0,101500.0,0.0225082914349969,Associate's degree
23-2093,"Title Examiners, Abstractors, and Searchers",detailed,38170.0,47420.0,58650.0,74810.0,90830.0,0.0214818319369201,High school diploma or equivalent
23-2099,"Legal Support Workers, All Other",detailed,43800.0,54940.0,72110.0,109360.0,179960.0,0.0275682669406658,Associate's degree
25-1011,"Business Teachers, Postsecondary",detailed,47180.0,64150.0,99080.0,141710.0,209470.0,0.0444290279484893,Doctoral or professional degree
25-1021,"Computer Science Teachers, Postsecondary",detailed,49460.0,66600.0,96980.0,131320.0,170200.0,0.0382950775204702,Doctoral or professional degree
25-1022,"Mathematical Science Teachers, Postsecondary",detailed,49180.0,61690.0,79940.0,105000.0,139340.0,0.0262541760472272,Doctoral or professional degree
25-1031,"Architecture Teachers, Postsecondary",detailed,58430.0,74970.0,96870.0,128510.0,159030.0,0.025959409415035,Doctoral or professional degree
25-1032,"Engineering Teachers, Postsecondary",detailed,61550.0,81570.0,109270.0,150860.0,210370.0,0.0296676019737471,Doctoral or professional degree
25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,50870.0,66410.0,98700.0,126850.0,163150.0,0.0404192218758576,Doctoral or professional degree
25-1042,"Biological Science Teachers, Postsecondary",detailed,52150.0,64350.0,84620.0,126770.0,169900.0,0.02776174142133,Doctoral or professional degree
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,50100.0,77440.0,101420.0,126930.0,148920.0,0.0273438517498283,Doctoral or professional degree
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,59700.0,77260.0,103170.0,135510.0,203190.0,0.0293424245412032,Doctoral or professional degree
25-1052,"Chemistry Teachers, Postsecondary",detailed,57870.0,68530.0,93250.0,127280.0,172110.0,0.0312805116592902,Doctoral or professional degree
